A1	A2	B1	B2
10	13	28	17
343	292	378	237
257	238	318	194
24	9	8	20
2	0	0	0
0	0	0	1
0	2	0	0
26	12	25	10
12	6	10	2
12	6	10	2
12	6	5	0
6	2	2	0
6	0	1	2
1433	1199	873	909
15780	16530	12154	11406
8	8	54	37
84	103	86	80
5182	4291	4245	4383
17440	15835	14258	15592
0	0	0	1
0	0	0	0
8	0	0	8
0	8	4	6
0	0	0	0
3	0	0	0
278	206	336	193
277	191	178	117
11	5	7	3
18	24	9	9
6	22	8	6
0	0	0	0
80	55	46	59
1210	1204	785	839
105	88	68	81
0	29	1	4
0	0	0	0
9	1	3	0
0	0	0	1
0	0	0	0
1170	929	939	740
4	1	3	0
0	0	0	0
0	0	0	0
2	2	0	1
1	0	2	3
2478	2383	2111	2202
58	46	48	38
86	74	109	104
37	24	56	27
25	12	19	14
1694	1512	1379	1303
1675	1672	1224	1204
395	288	244	244
0	0	0	0
1689	1479	1349	1410
305	239	387	244
9734	8863	9102	7829
182	197	275	247
167	180	251	232
6	12	5	4
12	6	14	8
18041	17098	14965	11024
78	67	39	31
2	0	0	0
0	2	6	4
0	0	0	0
336	368	385	381
8	13	10	3
2	2	3	7
2	2	4	8
11	18	19	19
4757	4448	3635	4113
6	4	7	3
269	237	245	252
274	268	294	261
4	5	2	2
48	5	15	15
85	115	124	127
4635	4327	3977	3141
0	0	0	0
225	218	250	186
1	0	0	0
266	265	213	141
2428	2211	1688	1936
3189	2495	2902	2190
1939	1763	1784	1466
346	322	252	248
178	164	127	126
3384	2976	3616	2390
0	0	0	1
0	0	0	0
30	7	11	6
120	80	88	48
153	162	154	126
2560	2460	2175	2104
0	0	0	0
0	0	0	0
3	0	2	1
363	333	391	332
7	7	11	8
0	0	0	1
116	84	118	82
365	351	379	348
9	13	8	9
2515	2309	1940	2046
5347	4901	4139	2962
946	865	888	643
49	61	73	39
1240	1061	1196	1108
114	111	91	38
20	24	4	12
857	764	799	805
2201	1733	1889	1629
228	222	195	198
0	1	6	4
1289	1155	1433	1106
0	0	0	0
16	19	17	24
0	0	0	1
4	9	1	4
5	9	3	6
58	25	31	20
0	0	7	9
4	2	65	43
0	4	0	1
31	31	25	33
7418	7440	6559	6529
891	744	930	846
1109	890	1176	1098
7	0	4	0
4	2	9	8
0	0	0	0
66	61	63	47
4	7	2	2
10	6	3	0
0	0	1	0
908	807	1194	815
1132	1024	1371	980
0	0	0	0
20	20	10	5
1601	1611	1584	1830
0	0	2	1
1	0	0	0
48	55	54	44
14	4	12	5
19	4	14	5
0	0	0	0
1950	1809	2239	1772
47	34	57	38
2141	2261	2893	2441
8	18	10	22
5	17	10	18
300	244	536	340
10	14	14	12
0	0	2	4
4	1	4	2
6	8	10	8
4573	4318	4388	4544
2	3	1	1
118	83	112	68
81	83	95	76
227	171	190	191
301	259	445	332
5	0	1	1
0	0	0	0
193	221	201	191
1137	1038	1361	1165
839	832	815	824
16	6	1	1
0	0	0	0
2432	1984	2681	1612
0	2	1	0
0	4	14	14
0	0	0	0
231	210	204	227
11922	11738	10612	9270
0	0	0	0
0	0	0	0
2465	2389	2451	1969
1936	1892	2171	1741
0	0	0	1
2136	2022	2504	2146
449	308	508	341
1760	1484	2046	1560
2	0	2	3
5036	4498	7040	4922
76	73	58	69
1316	1187	1568	1143
63	90	106	91
1876	1810	1747	1344
4310	4045	4379	3228
123	85	120	74
350	264	418	370
548	417	476	341
549	421	481	339
0	0	3	0
4092	3489	4283	4137
26	18	43	30
896	807	677	680
12435	10643	9651	8062
619	588	441	455
27	29	27	29
1025	872	757	771
2059	1662	1676	1585
11	5	9	8
509	420	585	384
1571	1348	1529	1291
76	101	73	58
12	12	9	11
1061	1023	1006	1035
14	12	6	2
14	12	6	2
1421	1299	1349	1126
328	280	263	384
164	162	239	206
62	29	50	38
17	5	13	10
74	36	46	49
2	4	3	4
176	192	240	153
10	10	10	11
692	652	834	711
3660	2936	2664	2338
14132	13455	13006	12497
257	287	175	243
14500	14323	11966	10900
143	167	69	78
729	745	563	554
0	0	0	0
0	0	0	5
0	0	0	0
0	0	0	0
0	0	0	0
0	4	0	1
999	1118	960	922
0	0	0	0
0	0	0	0
2	0	0	1
0	0	0	0
0	0	0	0
2	1	0	2
2	0	1	1
0	0	0	0
0	0	0	0
2	2	0	0
15	2	9	0
1	2	2	1
0	0	14	9
0	0	0	0
231	189	245	176
110	99	156	97
0	3	0	0
298	275	304	290
2	1	3	1
1257	1082	1232	912
0	0	1	0
0	0	1	0
443	400	532	430
0	3	2	0
100	87	75	68
513	554	689	647
4505	4152	4688	4455
51	30	35	31
0	2	0	0
1834	1546	1719	1288
1071	618	1021	562
0	0	0	0
4884	4373	6002	4714
14	42	25	19
26	21	29	21
0	0	0	0
0	2	1	0
0	0	0	1
2	0	1	1
40	34	78	56
0	2	2	0
66	69	64	54
346	338	282	318
1616	1429	1944	1756
415	321	520	446
0	2	2	1
560	442	510	512
173	153	184	154
5	5	8	4
4	5	4	7
0	4	0	1
0	0	0	0
0	0	0	0
97	61	86	89
77	45	59	70
43553	41825	52587	45529
214	146	149	101
303	206	242	189
0	0	1	4
0	2	0	0
2171	1877	2084	1623
270	195	211	213
203	101	205	143
0	6	3	2
183	134	145	105
2836	2171	2149	2009
4	3	6	1
197	161	215	287
1571	1353	2091	1471
217	181	190	132
180	145	269	261
0	2	1	1
461	418	435	355
4616	3809	4942	3107
8	6	22	19
8	6	22	20
614	537	605	555
810	635	901	768
426	274	224	162
0	0	0	0
83	77	78	58
0	0	0	0
160	112	88	68
0	0	0	0
0	0	0	0
0	4	7	12
0	0	0	0
16496	15286	21697	19313
28	30	31	33
28	30	31	33
0	0	7	3
0	0	4	1
487	433	587	472
12	6	27	17
82	54	87	79
2	2	1	1
10	6	0	1
8	0	0	4
932	813	829	663
8	14	11	8
5	6	1	2
0	2	0	0
0	0	0	0
0	1	0	1
7888	6571	7594	6301
36	16	28	16
3	2	3	1
704	363	815	558
19	14	15	16
2	0	1	0
5	5	1	2
2	0	2	0
2	0	2	0
0	0	4	4
25109	23271	26492	26627
51	36	71	52
5	2	1	1
351	259	368	365
264	348	365	379
2680	2795	2908	2299
600	705	749	485
276	226	252	229
1999	1637	1946	1504
1082	927	924	1054
39	44	42	38
394	314	505	412
81315	80263	70793	70976
33607	33789	27219	25596
2733	2579	1533	1658
0	0	0	1
5	2	19	4
5171	4497	5695	4523
15	18	6	12
5427	4805	6375	4631
0	1	0	0
6	6	6	4
5	12	7	4
7665	6691	6707	6190
244	216	122	96
21325	19418	19291	17742
1599	1547	1397	1197
709	581	645	638
488	414	523	490
1	4	13	3
3	4	13	4
889	753	1041	727
4	8	11	7
347	423	376	394
564	594	526	544
110	78	88	58
155	143	217	199
7232	6793	7320	7509
888	624	1139	885
261	275	317	244
4678	3263	486	291
14	8	25	14
4	0	2	2
6489	5636	5416	5200
332	264	298	261
3679	2997	3048	2903
0	7	2	1
2	0	0	0
372	313	411	343
0	0	0	0
0	0	0	0
0	0	0	1
0	0	0	0
0	0	4	1
12	8	10	3
2	0	0	0
2	0	1	1
0	0	0	0
0	0	0	0
0	2	0	0
0	0	1	0
10	9	11	12
3	8	10	7
2	0	0	0
7278	5999	6908	5901
0	0	0	0
426	385	539	453
473	440	469	466
9	6	2	4
0	0	0	0
13	15	19	5
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
104	98	125	98
18529	15329	14019	11959
69	71	74	85
4484	4393	3843	3420
0	0	1	3
2	6	2	4
0	0	0	0
13	9	8	5
470	369	487	330
32	13	14	11
4	4	1	3
1	2	0	1
0	0	0	0
0	0	0	0
0	2	0	1
0	0	0	0
14	14	29	6
10	4	8	2
0	2	1	0
155	169	148	143
2608	2360	1957	1934
0	4	0	1
5035	4496	4218	4286
2	5	4	4
